bet_id,game,name,result_type,amount,odds,stake,pick,market
3692674,Basketball,Basket Zaragoza v Gran Canaria - Liga Endesa 2021/2022 (Spain 1),Lost,"4,000,000",1.91,,Under 159.5 Total,Over/Under 159.5 Total Full event
3692744,Basketball,Barcelona v Burgos - Liga Endesa 2021/2022 (Spain 1),Won,"3,000,000",2.00,"3,000,000",Under 156.5 Total,Over/Under 156.5 Total Full event
3692746,Basketball,CB Murcia v Monbus Obradoiro - Liga Endesa 2021/2022 (Spain 1),Lost,"1,000,000",4.50,,Monbus Obradoiro,2-Way Full event
3692755,Basketball,Burgos v Unicaja - Liga Endesa 2021/2022 (Spain 1),Lost,"10,000,000",2.85,,Unicaja,2-Way Full event
3692764,Basketball,Unicaja v Manresa - Liga Endesa 2021/2022 (Spain 1),Lost,"25,000,000",4.80,,Manresa,-12.5
3692766,Basketball,Real Madrid v CB Murcia - Liga Endesa 2021/2022 (Spain 1),Won,"18,200,000",1.91,"20,000,000",Real Madrid,-7.5
3692775,Basketball,CB Breogan Lugo v Unicaja - Liga Endesa 2021/2022 (Spain 1),Won,"22,023,819",1.80,"27,529,774",CB Breogan Lugo,-2.5
3693858,Basketball,Shimane Susanoo Magic v Diamond Dolphins - B. League 2021/2022 (Japan 1),Won,"21,200,000",1.53,"40,000,000",Under 174.5 Total,Over/Under 174.5 Total Full event
3693863,Basketball,Yokohama B-Corsairs v Alvark Tokyo - B. League 2021/2022 (Japan 1),Lost,"900,000",1.83,,Over 158.5 Total,Over/Under 158.5 Total Full event
3693884,Basketball,Ibaraki Robots v Hiroshima Dragonflies - B. League 2021/2022 (Japan 1),Lost,"3,098,450",1.80,,Hiroshima Dragonflies,-5.5
3693885,Basketball,Utsunomiya Brex v Sun Rockers Shibuya - B. League 2021/2022 (Japan 1),Won,"750,000",2.50,"500,000",Under 147.5 Total,Over/Under 147.5 Total Full event
3693896,Basketball,Utsunomiya Brex v Sun Rockers Shibuya - B. League 2021/2022 (Japan 1),Won,"4,675,000",1.85,"5,500,000",Under 153.5 Total,Over/Under 153.5 Total Full event
3693936,Basketball,Shimane Susanoo Magic v Sun Rockers Shibuya - B. League 2021/2022 (Japan 1),Lost,"1,500,000",1.85,,Over 163.5 Total,Over/Under 163.5 Total Full event
3693941,Basketball,Sun Rockers Shibuya v Yokohama B-Corsairs - B. League 2021/2022 (Japan 1),Lost,"200,000",2.50,,Yokohama B-Corsairs,2-Way Full event
3693943,Basketball,SAN-EN NeoPhoenix v Gunma Crane Thunders - B. League 2021/2022 (Japan 1),Won,"1,700,000",1.85,"2,000,000",Under 171.5 Total,Over/Under 171.5 Total Full event
3694017,Basketball,Utsunomiya Brex v Levanga Hokkaido - B. League 2021/2022 (Japan 1),Won,"16,150,000",1.85,"19,000,000",Over 155.5 Total,Over/Under 155.5 Total Full event
3694022,Basketball,SeaHorses Mikawa v Sun Rockers Shibuya - B. League 2021/2022 (Japan 1),Lost,"10,000,000",2.20,,Sun Rockers Shibuya,2-Way Full event
3694023,Basketball,Diamond Dolphins v Shinshu Brave Warriors - B. League 2021/2022 (Japan 1),Lost,"10,000,000",1.85,,Over 161.5 Total,Over/Under 161.5 Total Full event
3694024,Basketball,Shiga Lakestars v Kyoto Hannaryz - B. League 2021/2022 (Japan 1),Lost,"9,000,000",2.00,,Shiga Lakestars,2-Way Full event
3694035,Basketball,Shiga Lakestars v Kyoto Hannaryz - B. League 2021/2022 (Japan 1),Lost,"32,000,000",1.85,,Over 164.5 Total,Over/Under 164.5 Total Full event
3694055,Basketball,Shinshu Brave Warriors v Ryukyu Golden Kings - B. League 2021/2022 (Japan 1),Lost,"1,000,000",1.85,,Ryukyu Golden Kings,-8.5
3694072,Basketball,Akita Northern Happinets v Diamond Dolphins - B. League 2021/2022 (Japan 1),Refunded,"4,000,000",2.00,,Diamond Dolphins,2-Way Full event
3694084,Basketball,Ibaraki Robots v Chiba Jets - B. League 2021/2022 (Japan 1),Won,"2,700,000",1.90,"3,000,000",Over 163.5 Total,Over/Under 163.5 Total Full event
3694104,Basketball,Ryukyu Golden Kings v SAN-EN NeoPhoenix - B. League 2021/2022 (Japan 1),Lost,"2,500,000",1.83,,Over 164.5 Total,Over/Under 164.5 Total Full event
3694110,Basketball,Shinshu Brave Warriors v SeaHorses Mikawa - B. League 2021/2022 (Japan 1),Refunded,"2,500,000",2.25,,Shinshu Brave Warriors,2-Way Full event
3694124,Basketball,Shiga Lakestars v Osaka Evessa - B. League 2021/2022 (Japan 1),Lost,"3,000,000",1.85,,Under 165.5 Total,Over/Under 165.5 Total Full event
3694161,Basketball,Utsunomiya Brex v Akita Northern Happinets - B. League 2021/2022 (Japan 1),Lost,"5,000,000",1.85,,Over 152.5 Total,Over/Under 152.5 Total Full event
3694167,Basketball,SeaHorses Mikawa v Shinshu Brave Warriors - B. League 2021/2022 (Japan 1),Lost,"5,000,000",1.85,,Over 155.5 Total,Over/Under 155.5 Total Full event
3694181,Basketball,Ryukyu Golden Kings v Shimane Susanoo Magic - B. League 2021/2022 (Japan 1),Lost,"5,000,000",1.85,,Over 164.5 Total,Over/Under 164.5 Total Full event
3694191,Basketball,Shimane Susanoo Magic v Toyama Grouses - B. League 2021/2022 (Japan 1),Lost,"2,800,000",1.85,,Under 166.5 Total,Over/Under 166.5 Total Full event
3694204,Basketball,Shimane Susanoo Magic v Shiga Lakestars - B. League 2021/2022 (Japan 1),Lost,"4,000,000",1.83,,Under 169.5 Total,Over/Under 169.5 Total Full event
3694211,Basketball,Toyama Grouses v SeaHorses Mikawa - B. League 2021/2022 (Japan 1),Won,"1,785,000",1.85,"2,100,000",Under 166.5 Total,Over/Under 166.5 Total Full event
3694219,Basketball,Chiba Jets v Sun Rockers Shibuya - B. League 2021/2022 (Japan 1),Lost,"3,000,000",1.85,,Over 162.5 Total,Over/Under 162.5 Total Full event
3694223,Basketball,SeaHorses Mikawa v Brave Thunders - B. League 2021/2022 (Japan 1),Won,"2,550,000",1.85,"3,000,000",Under 165.5 Total,Over/Under 165.5 Total Full event
3694239,Basketball,Ryukyu Golden Kings v Hiroshima Dragonflies - B. League 2021/2022 (Japan 1),Lost,"30,000,000",1.85,,Over 160.5 Total,Over/Under 160.5 Total Full event
3695967,Basketball,Parma Perm v BC Zenit - VTB United League 2021/2022 (United League 1),Lost,"40,000,000",1.85,,Over 150.5 Total,Over/Under 150.5 Total Full event
3696039,Basketball,Tsmoki-Minsk v Enisey Krasnoyarsk - VTB United League 2021/2022 (United League 1),Won,"450,000",2.50,"300,000",Tsmoki-Minsk,2-Way Full event
3697914,Basketball,Prievidza v BC Slovan Bratislava - SBL 2021/2022 (Slovakia 1),Lost,"15,000,000",1.80,,BC Slovan Bratislava,-4
3699106,Basketball,"Artego Bydgoszcz v Arka Gdynia - Energa Basket Liga 2021/2022 (Poland 1, female)",Won,"15,000,000",1.50,"30,000,000",Over 139.5 Total,Over/Under 139.5 Total Full event
3705184,Basketball,Vienna D.C. Timberwolves v Flyers Wels - Superliga 2021/2022 (Austria 1),Lost,"8,000,000",2.38,,Under 144.5 Total,Over/Under 144.5 Total Full event
3705201,Basketball,Traiskirchen v Dukes Klosterneuburg - Superliga 2021/2022 (Austria 1),Lost,"30,000,000",2.00,,Dukes Klosterneuburg,2-Way Full event
3705247,Cricket,Sydney Sixers v Adelaide Strikers - Big Bash League 2021/2022 (Australia T20 1),Won,"5,567,201",1.57,"9,767,020",Sydney Sixers,2-Way Full event
3705248,Cricket,Melbourne Renegades v Perth Scorchers - Big Bash League 2021/2022 (Australia T20 1),Won,"4,240,000",1.53,"8,000,000",Perth Scorchers,2-Way Full event
3705249,Cricket,Adelaide Strikers v Brisbane Heat - Big Bash League 2021/2022 (Australia T20 1),Lost,"34,500,000",1.66,,Adelaide Strikers,2-Way Full event
3705251,Cricket,Sydney Thunder v Sydney Sixers - Big Bash League 2021/2022 (Australia T20 1),Lost,"1,000,000",2.10,,Sydney Thunder,2-Way Full event
3705253,Cricket,Hobart Hurricanes v Adelaide Strikers - Big Bash League 2021/2022 (Australia T20 1),Won,"3,100,000",1.62,"5,000,000",Hobart Hurricanes,2-Way Full event
3705255,Cricket,Sydney Thunder v Perth Scorchers - Big Bash League 2021/2022 (Australia T20 1),Lost,"10,000,000",1.57,,Perth Scorchers,2-Way Full event
3705256,Cricket,Sydney Sixers v Brisbane Heat - Big Bash League 2021/2022 (Australia T20 1),Lost,"10,000,000",2.25,,Brisbane Heat,2-Way Full event
3705257,Cricket,Melbourne Renegades v Hobart Hurricanes - Big Bash League 2021/2022 (Australia T20 1),Lost,"1,000,000",2.37,,Melbourne Renegades,2-Way Full event
3705259,Cricket,Adelaide Strikers v Sydney Thunder - Big Bash League 2021/2022 (Australia T20 1),Won,"110,000,000",2.10,"100,000,000",Sydney Thunder,2-Way Full event
3705260,Cricket,Hobart Hurricanes v Brisbane Heat - Big Bash League 2021/2022 (Australia T20 1),Lost,"50,000,000",1.57,,Hobart Hurricanes,2-Way Full event
3705261,Cricket,Sydney Sixers v Melbourne Renegades - Big Bash League 2021/2022 (Australia T20 1),Refunded,"50,000,000",3.10,,Melbourne Renegades,2-Way Full event
3705263,Cricket,Sydney Thunder v Adelaide Strikers - Big Bash League 2021/2022 (Australia T20 1),Lost,"30,000,000",2.00,,Adelaide Strikers,2-Way Full event
